White Tea ,"(mandarin, lemon, bergamot, ginger, jasmine, white tea)",,
White Eucalyptus ,"(marine, spearmint, lemon, eucalyptus, sea salt, powder)",,
Green Tea & Lemongrass ,"(lemongrass, orange, lemon, jasmine, green tea, light musk)",,
Cashmere Musk ,"(bergamot, saffron, violet, lily of the valley, amber, powder, vetiver)",,
Cashmere Plum ,"(citrus, plum, black cherry, light musk, amber, vanilla)",,
Macintosh Apple ,"(green leaves, pear, apple, vanilla, cedar)",,
Grapefruit & Mangosteen ,"(orange, orange peel, mango, grapefruit, peach, cedar, red currant)",,
Caribbean Teakwood ,"(leather, all spice, teakwood, tobacco leaves, sandalwood, peppercorn, amber)",,
Dragon's Blood ,"(orange, orange blossom, cedar, patchouli, incense, tonka bean)",,
Moonflower Nectar ,"(pear, agave, rose, marine, cherry blossom, powder, musk, amber)",,
Black Sea ,"(petitgrain, sea salt, plum, eucalyptus, powder, sandalwood)",,
Black Coral & Moss ,"(marine, pineapple, lavender, bamboo, vetiver, amber, cedar)",,
Vanilla Orchard ,"(orange, green leaves, jasmine, sandalwood, musk, vanilla)",,
Velvet Vanilla ,"(linen, amaretto, jasmine, smoke, musk, parlie, vanilla, amber)",,
Glacier Lily ,"(ozone, eucalyptus, lavender, amber, patchouli)",,
Lemon ,(lemon),,
Lemon Verbena ,"(lemon, sugar, lemon peel, lemon verbena, lemongrass, light musk)",,
Orchard Pear ,"(apple, citrus, pear, sugar, musk, wood)",,
Persimmon Citron ,"(orange peel, citron, eucalyptus, peach, persimmon, tangerine, red currant, bamboo)",,
Olive Leaf & Citron ,"(bergamot, marine, lemon, grass, rose, olive, wood, musk)",,
Strawberry Cheesecake ,"(strawberry, orange peel, lemon peel, graham cracker, sugar, vanilla, cream)",,
Peach Nectar,"(amaretto, lime, banana, papaya, peach, mango, pear, green leaves, tonka bean)",,
Arctic Ivy,"(eucalyptus, bergamot, lemon, sage, fig, rose, amber, musk)",,
Apple Harvest ,"(orange peel, cinnamon, nutmeg, apple, clove, vanilla)",,
Harvest Moon ,"(green leaves, pear, plum, cinnamon, sugar, smoke, sandalwood)",,
Fallen Leaves ,"(cinnamon, citrus, chrysanthemum, berry, green leaves, apple, pecan, cedar)",,
Autumn Glow ,"(apple, cinnamon, clove, pine, eucalyptus, juniper, cranberry, cedar)",,
Christmas Hearth ,"(cinnamon, orange peel, ginger, clove, cypress, pine, fir)",,
Mistletoe ,"(eucalyptus, red currant, clove, pine, fir, patchouli, cedar)",,
Wassail ,"(orange peel, cinnamon, lemon, cranberry, apple cider, red wine, wood)",,
2025 fragrances,,,
Apothecary,"(peppercorn, coriander, sage, moss, patchouli, chamomile, balsam)",,
Baltic Dew,"(ozone, apple, lemon, sage, eucalyptus, amber, patchouli)",,
Cherry Eclipse,"(black cherry, almond, raspberry, vanilla, vetiver, cedar, sandalwood)",,
Elderberry Nectar,"(green tea, mandarin, elderberry, raspberry, geranium, oak, sandalwood)",,
Golden Moon Milk,"(bergamot, lemon, turmeric, milk, lavender, cardamom, vanilla, tonka bean, musk)",,
Lychee Blush,"(apple, pear, lychee, peony, lotus flower, musk, sugar)",,
Meadow Thistle,"(sage, eucalyptus, orange peel, clover, pine, thistle, moss)",,
Royal Melon Fizz,"(spearmint, champagne, honeydew melon, cantaloupe, praline)",,
Sea & Stone,"(peppercorn, sea salt, pear, aldehydic, labdanum, freesia, grass, patchouli, cedar)",,
Solar Petals & Tangerine,"(neroli, tangerine, bergamot, orange blossom, sea salt, vanilla, cedar)",,
Spun Cotton,"(sage, cotton blossom, lavender, patchouli, amber, cedar, palo santo)",,
Starfruit & Kiwi,"(mango, mandarin, starfruit, guava, papaya, kiwi, amber, sandalwood)\",,
Vanilla Cake Pop,"(coconut, lemon, butter, sugar, vanilla)",,
Volcanic Sand & Sage,"(chamomile, pear, sage, rose, lavender, palo santo, patchouli)",,
Warm Croissant,"(sugar, honey, lemon, butter, walnut, almond, caramel)",,
Wisteria Vines,"(violet, lemon, ozone, freesia, lilac, wisteria, musk, verbena)",,
2025 luxury fragrances,,,
Water Lily,"(violet, marine, mimosa, lily, cardamom, cottom blossom, tonka bean, sugar)",,
Enoki Forest,"(citrus, aldehydic, mushroom, earth, moss, sandalwood, cedar)",,
Gilded Mandarin,"(mandarin, bergamot, cassis, coconut, jasmine, sandalwood, musk)",,
Obsidian,"(bergamot, hemp, peppercorn, rum, patchouli, sandalwood, leather)",,
Ambered Vanille,"(coconut, sugar, vanilla, jasmine, amber, patchouli, musk)",,
Elderflower Aperitif,"(cassis, apple, raspberry, elderflower, tuberose, ylang ylang, cedar, amber)",,
White Peach Blossom,"(peach, orange peel, rose, marine, sweet pea, teakwood, mango, musk)",,
Speakeasy,"(peppercorn, orange, violet, pine, sage, leather, juniper)",,
,,,
,,,
Peony & Lychee ,"(lychee, raspberry, peach nectar, peony, violet leaf, d'anjou pear, caramel, sandalwood)",,
Volcano type ,"(valencia orange, italian mandarin, white pineapple, cara orange, white strawberry, ",,
,"french raspberry, navel orange, honeybell orange, orange leaves)",,
Palo Santo,"(citron, vanilla orchid, heliotrope, amber mist, tonka bean, palo santo",,
,"black cedar, oakmoss)",,
Peony Tea Rose ,"(green apple, citrus, peony, tea rose, muguet, jasmine)",,
